attrs,blueprint,caption,content,enabled,filename,href,id,image,level,main_content,marks,more_content,photo,published,rel,summary,target,text,title,type,updated_at,updated_by
,,,,,2021-01-04.re-tales-4-bring-service-back,,,,,,,,,,,,,,,,,
,,,,,2021-02-19.welcome-yg-acoustics,,,,,,,,,,,,,,,,,
,,,,,2021-03-01.mcintosh-labs-announces-new-tubed-headphone-amplifier,,,,,,,,,,,,,,,,,
,,,,,2021-04-06.fidelis-welcomes-lab12-to-our-product-offerings,,,,,,,,,,,,,,,,,
,,,,,2021-06-11.record-cleaning-perfected,,,,,,,,,,,,,,,,,
,news,,,,2022-01-13.fidelis-is-pleased-to-now-offer-merason-dacs-from-switzerland,,39857e04-a23e-4073-92d8-d64af3e541a7,merason_frerot_front-1642111339.png,,,,,,,,"'Audiophile products for passionate music lovers'",,"'We had been looking for some time to find an audiophile-quality DAC that sounded musical, was well built and didn''t break the bank. On suggestion of a dealer friend, we reached out to Merason for a sample and it was love at first sight! Couple the Frerot with its companion POW1 linear power supply and you have a heavyweight performer for the lightweight price of $2,250.00.'","'Fidelis is pleased to now offer Merason DAC''s from Switzerland!'",text,1644110856,87641989-b935-429e-81a7-ccf64c5d34d6
,news,,,,2022-01-26.fidelis-is-pleased-to-announce-that-we-are-now-the-local-reseller-for-innuos-music-servers,,f284351e-82a3-4192-b273-8a8e804c2521,innuos-zenith-mk3-silver-perspective.jpg,'3',,,,,,,"'Innuos - one of the most popular audiophile music streaming solutions on the market is now on display at Fidelis. Spanning the gamut from the Zen Mini - modestly priced at $1,399.00 to the state-of-the-art Statement at $15,000.00, Innuos has a solution for almost everyone.'",,"'Digital Audio is a fast-evolving area, with new products being constantly introduced in the market. Instead of designing closed solutions, we build our products to be open, allowing integration with the most popular Hi-Fi and Multi-room products in the market.'","'Fidelis is pleased to announce that we are now the local reseller for Innuos music servers!'",text,1644112762,87641989-b935-429e-81a7-ccf64c5d34d6
,news,,,,2022-02-20.siltech-cables-are-now-at-fidelis,,eaa27610-87db-4e2a-a917-c6ab15221efc,380L_A.jpg,,,,,,,,"'They were the first silver cables and they are by far the best silver cables. Come see how Siltech can bring a level of transparency and openness to any system that other cables can''t match. The Classic Legend series is on display and everyone is in agreement - it is the best cables we have ever heard!'",,"'Classic Legend employs improved metallurgy - G9 is the 9th generation of Siltech’s proprietary silver-gold alloy with up to 2 times larger conductors than previous generations. This new range uses the company’s new G9 silver-gold conductors, the latest in a long line starting with the G1 which was a 99.99% pure solid silver wire found in the first cables. Silver boasts the best conductivity of any metal, and this actually improves over time. The new G9 wire alloys silver and gold together to fill in the micro-cracks of the crystal structure, as well as offering improved cable run-in.'","'Siltech cables are now at Fidelis!'",text,1645375912,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2022-03-16.fidelis-has-expanded-and-organized-our-new-and-used-record-offerings-come-check-it-out,,ad6f5de4-594b-4cf2-95a8-c49ab58d34c2,IMG_5386.JPG,,,,,,,,"'New record bins, several new record collections purchased, records organized by genre and alphabetically - what more could a record shopper ask for! Come in and check out the great selection and great values!'",,,"'Fidelis has expanded and organized our new and used record offerings - come check it out!'",,1647445658,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2022-04-13.fidelis-welcomes-the-iconic-brand-stax-to-our-headphone-offerings,,a310b4f1-b8b9-48cc-b05b-254f72406bc3,Stax-DSC02933-1649864695.jpg,,,,,,,,"'Stax is the company that both devised and perfected electrostatic headphones and we are excited to demonstrate the new SR-007 MKII headphone and the companion SRM-500T tubed headphone amplifier for you - stop by and give them a listen!'",,"'""The rationale is the development of the new SR-007MK2 Earspeaker was to provide deep powerful sound previously unobtainable in Earspeakers. STAX engineers developed a unique new electrode structure. Visible through the outer case, gold plated on the outer edge this new electrode has no holes unlike conventional STAX Earspeakers and thus provides an increases diaphragm vibration area allowing for rich and powerful sound yet retaining all the delicacy STAX is famous for.""'","'Fidelis welcomes the iconic brand Stax to our headphone offerings!'",text,1650848426,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2022-04-13.fidelis-welcomes-the-new-range-of-thorens-turntables-to-our-mix,,b2d27764-88e3-4c06-b529-569e670e9ac0,TD_1601_Nussbaum_72.jpg,,,,,,,,"'One of the oldest and most renowned manufacturers of turntables in the world, Thorens now offers and exceptional range of products across the price spectrum.'",,"'Fidelis is pleased to now offer the Thorens brand of turntables and tonearms. We have several models on display - from the ultra high-performing TD-1601 to the modestly priced TD-102. Some models even offer end-of-record-lift functionality to save that end of record race from couch to equipment rack!'","'Fidelis welcomes the new range of Thorens turntables to our mix!'",text,1649876541,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2022-05-27.a-great-show-report-on-the-degritter-record-cleaning-machine-from-munich,'https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DwoiGaM3XXvk%26fbclid%3DIwAR3XtE1w-rPnEaUvqH8GBwF24ULMhBprIPmQGgimNnKdCaIL40131WRYeXk&h=AT09SltgjBR-pirRCHzkM_zn13KC4U8NXrSI1xHYicHwN_Ci5Rr9m9VazfrzAgOoGxvMi-n49O2lht_31n_tTgdvEC3M4HjJIsHt_790t9i6Lfb6zfELFXQM-AyhnWTTag',347b09cf-7104-4506-84ff-2ca1de6c5815,degritter_black_front-1.jpg,,,,,,,null,"'Worth the watch'",null,'https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DwoiGaM3XXvk%26fbclid%3DIwAR3XtE1w-rPnEaUvqH8GBwF24ULMhBprIPmQGgimNnKdCaIL40131WRYeXk&h=AT09SltgjBR-pirRCHzkM_zn13KC4U8NXrSI1xHYicHwN_Ci5Rr9m9VazfrzAgOoGxvMi-n49O2lht_31n_tTgdvEC3M4HjJIsHt_790t9i6Lfb6zfELFXQM-AyhnWTTag',null,link,1653666365,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2022-06-22.fidelis-welcomes-the-iconic-tubed-brand-conrad-johnson-to-our-offerings,,ccc33e7b-e694-40b7-ab38-41cbf980bf7a,conrad-johnson-Classic-120-beauty-with-cage-1080-16-9-1655930016.jpg,,,,,,,,"'ET6SE and Classic 62SE soon to be on display at Fidelis.'",,"'Under new ownership, but still producing the extremely musical sound their electronics are known for, we are delighted to now offer one of the industries preeminent brands in tubed electronics. Founded in the mid 1970''s, Conrad Johnson, along with ARC ruled the tube roost for over 30 years. We had been hearing such glowing praise on the new range of amps and preamps from our dealer friends across the country that we decided it was time to join the CJ revolution!'","'Fidelis welcomes the iconic tubed brand Conrad Johnson to our offerings!'",text,1655930613,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,"'A sight and sound to behold... come in and check it out!'",,true,2023-02-08.thanks-for-coming-out,,8961ed5f-0ec0-4e4a-9528-fd0f4139ed78,_dsc6395_1-1-1675868920.jpg,,,,,,,,"'William Kline of the McIntosh Group demonstrating the new McIntosh MC451 hybrid amplifiers and the Sonus Faber Lilium speakers.'",,"'It was great to see some old friends and make some new ones, and to hear from the folks at McIntosh and Sonus Faber. This was our first in-house seminar since the outbreak of COVID, but we look forward to doing more in the near future -- stay tuned, and let us know if there are events that would be of special interest to you!'","'Thanks for coming out!'",image,1675984413,87641989-b935-429e-81a7-ccf64c5d34d6
,news,,,,2023-03-09.hegel-is-on-its-way,,35ad3e1d-a0d7-4d16-af5c-3f4f543064bd,H590Front.jpg,,,,,,,,"'Renowned Norwegian manufacturer Hegel is the latest offering at Fidelis. Stop by and give them a listen!'",,"'Known for their line of high-performing yet budget-friendly electronics, we are pleased to announce the inclusion of Hegel to our product offerings. Their line-up includes 5 integrated amplifier - many of which have built-in DAC''s and are also ""Roon Ready"", making them a one-piece solution for a streaming source based system - just add quality speakers and you are done! A very nice phono preamplifier and a couple of separate amps and preamps round out their offerings nicely. '","'Hegel is here!'",text,1685026017,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,,2023-08-09.sonus-faber-amati-g5-on-display-looking-beautiful-and-sounding-quite-exquisite,,c0312f75-5314-41ef-9621-6a280153c28b,IMG_7742.jpg,,,,,,,,"'The Amati Generation 5° floorstanding speaker channels the visionary brilliance of Nicolo Amati, the Italian renaissance violin maker who understood the link between artistic form and musical function. New technology delivers balanced sound with stunning detail matching the elegance of the Amati’s exterior design.'",,"""\_that reduces resonance and delivers nuanced acoustic detail. New crossover technology lowers the noise floor and eliminates background noise, delivering three-dimensional sound with the timing and layers of a live performance.""","'Sonus Faber Amati G5 on display - looking beautiful and sounding quite exquisite!'",text,1691591817,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,news,,,true,2023-08-24.grimm-audio-does-not-fail-to-impress,'https://roonlabs.com/',1197c32e-dc2a-4861-9df1-0619d2f7b8a8,grimm_mu1_2023_small-1692898603.jpg,,,,,,,null,"'The MU1 is the ultimate digital music source.'",null,""", who in our opinion are in the lead when it comes to a rich and engaging music experience that appeals to your whole family. The MU1 runs the Roon Core server, so no extra installs are necessary. Just pick up your tablet and experience the music. For customers who prefer to only run a simple playback system without Roon’s extras, we will offer a solid alternative.\_""",null,text,1692900006,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
