attrs,blueprint,content,description,description_text,filename,hide_your_price,href,id,images,level,local_only,marks,new_retail_price,original_accessories,published,rel,shipping,target,text,title,type,updated_at,updated_by,your_price
,pre_owned,,,,2024-06-06.aurender-n10-streaming-music-server,,,0553403b-fa5c-4a60-9ca4-cba42e2d057f,,,false,,8000,"'Box, Packing, Manual, Accessories'",,,80,,"'Aurender N10 Streaming Music Server. Unit is in excellent physical and functional condition with original box, packing and accessories. Unit sold as new for $8,000.00'","'Aurender N10 Streaming Music Server'",bold,1717690559,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,3995
,pre_owned,,,,2024-07-09.odyssey-stratos-extreme-amplifier,,,6fd0855c-67d1-4411-9f44-684a369ba57b,,,true,,3175,None,,,,,"'Odyssey Stratos Extreme Amplifier. Unit is in good working condition but has a number of scratches and scuffs on the top and faceplate. Unit sold as new for $3,175.00 and is priced reflecting cosmetic condition. '","'Odyssey Stratos Extreme Amplifier'",text,1720534816,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,1275
,pre_owned,,,,2024-08-06.aurender-n100h,,,8f7b611b-3f1e-41c7-a045-225de38de4bb,,,false,,2699,"'Box, Packing, Manual, Accessories'",,,60,,N/A,"'Aurender N100H'",text,1722979711,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,1300
,pre_owned,,,,2024-08-29.metronome-technologies-cd3-cd-player,false,,2be487c7-ec87-46a9-9434-18c26246bf3a,,,false,,10800,"'Box, Packing, Power Cord, Remote'",,,120,,"'Metronome Technologies CD3 CD Player. Unit is in very good physical and functional condition with original box and packing. Unit sold as new for $10,800.00. The CD player up-samples all data to 24/192 upon playback. '","'Metronome Technologies CD3 CD Player'",bold,1736616617,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,2995
,pre_owned,,,,2024-09-27.magnepan-lrs-wupgraded-stands,,,2c6dd154-d932-4a63-8205-ca683f33e1a3,,,true,,1295,"'Box, Manual, Accessories'",false,,,,"'Magnepan LRS+ w/Upgraded Stands - white finish. Speakers are in excellent physical and functional condition and sold as new for $1,295.00'","'Magnepan LRS+ w/Upgraded Stands'",bold,1727452419,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,795
,pre_owned,,,,2025-01-09.kharma-ce-ct-10a-center-channel-speaker-wstand-self-powered,false,,5226ccb3-39ed-4bc6-925a-8f202c227133,,,true,,8000,None,,,,,"'Kharma CE-CT-1.0.A Center Channel Speaker w/Stand, Self-Powered. Unit is in excellent physical and functional condition, but does have one nick on the top/right corner. Unit sold as new for $8,000.00'","'Kharma CE-CT-1.0.A Center Channel Speaker w/Stand, Self-Powered'",bold,1749217645,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,1495
,pre_owned,,,,2025-01-09.kharma-crm-32-d-e-speakers,false,,5287ca4a-9a2e-4002-9410-7fd8f9765d50,,,true,,21000,None,,,,,"'1 - pair of Kharma CRM-3.2-D-E speakers in excellent physical and functional condition. One speaker has a small chip in the finish on the top corner., but that is the only defect of note. Speakers sold as new for $21,000.00. We have a matching scenter channel speaker for sale as well. '","'Kharma CRM-3.2-D-E Speakers'",bold,1749217577,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,3995
,pre_owned,,,,2025-01-22.harbeth-p3esr-xd-cherry-finish,false,,9ba4cd16-3bf1-49de-989d-90b0219d9906,,,true,,2990,None,,,,,"'Harbeth P3ESR-XD speakers in cherry finish. Speakers are in excellent physical and functional condition and sold as new for $2,990.00. No original boxes and packing so local pick-up only. '","'Harbeth P3ESR-XD, Cherry Finish'",bold,1737561143,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,1800
,pre_owned,,,,2025-02-06.borresen-x3-black-finish-demo,false,,e80eaac2-cd7b-4aab-b43e-e934c890cd6b,,,false,,11000,"'Box, Packing, Manual, Accessories'",,,400,,"'Borresen X3, Black Finish (Demo). Speakers are in excellent condition other than one speaker has a chip out of the finish on the top, which is hard to see other than on close examination. Original boxes packing and accessories included. The speakers sell as new for $11,000.00'","'Borresen X3, Black Finish (Demo)'",bold,1747492481,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,5500
,pre_owned,,,,2025-02-06.borresen-x3-black-finish,false,,37daa8f6-189d-4845-90bf-b7b86440eda7,,,false,,11000,"'Box, Packing, Manual, Accessories'",,,400,,"""Borresen X3 speakers in black finish. Units are in like-new condition with original boxes, packing and accessories. Speakers sold as new for $11,000.00. Speakers are demo's with full warranty. ""","'Borresen X3, Black Finish'",bold,1747492505,87ca4130-78f3-4ed1-8b64-aa552d3d08a8,6500
