also_consider,attribution,attrs,available_for_demo,available_to_buy_online,blueprint,content,date_of_review,description,description_text,enabled,excerpt,featured_description,featured_in_product_category,filename,has_files,href,id,level,link,local_only,manufacturer,marks,monthly_feature,monthly_featuree,pairs_well_with,price,product-categories,product-category,product_hero_image,published,quote,quote_attribution,quote_text,reivews_set,rel,shipping,show_price,specs,specs_text,system_category,target,text,textAlign,title,type,updated_at,updated_by
,"'Absolute Sound'",,true,false,product,,,,,true,,,,1-7i,,,4e27e871-d106-486e-b721-4889aecaf756,,'https://www.theabsolutesound.com/articles/magnepan-mg1-7i-loudspeaker',true,a1bc679d-2575-49b5-b383-070c024b598e,,,,,2995,speakers,,Mg_1.7_White_Pair_1_1800x1800.webp,,"'The Magnepan 1.71 is an exceptional loudspeaker, especially for its modest cost. It is a true high-end product that will be especially appreciated by those who know and treasure the beauty of live music.'","'Absolute Sound'","'The Magnepan 1.71 is an exceptional loudspeaker, especially for its modest cost. It is a true high-end product that will be especially appreciated by those who know and treasure the beauty of live music.'",,,,true,,,speakers,,"""In summary, this is a device that does not get in the way of the music. Rather it retains most of the musical information passing through it. It is clear, detailed, and enjoyably realistic. The 1.7i affords a true high-end listening experience for far less cost than sonically competitive speakers. It is a gem and a real bargain.\_""",,1.7i,Review,1695485075,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,"'Danny Kaey, Audiophile Style'",,false,true,product,,'2020-07-24',,,true,,,,1110-phono-preamp,,,7a47ae6c-5f00-4b17-9d07-959b979177e1,,'https://audiophilestyle.com/ca/reviews/boulder-1100-series-preamplifier-and-power-amplifier-review-r765/',false,cad1d45b-6c89-4812-a990-fdab9e473e07,,,,,23000,pre-amps,,1110_front-650x256.png,,,,,,,200,true,,,amplification,,"'Remember the old saying “straight wire with gain”? It seems that Boulder is closer to that “truth” than others. There’s nothing like taking the same record from deck to deck to hear the fundamental differences of each. The elements which make that possible and so easily identifiable are the Boulder 1100 and 1160 combo. Straight shooters, definitely an end game sort of setup. A+++'",,'1110',text,1656014323,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,Stereophile,,true,true,product,,,,,true,,,,1151,,,md8wclg2,,'https://stereophile.com/content/boulder-1151-monoblock-power-amplifier',false,cad1d45b-6c89-4812-a990-fdab9e473e07,,,,,47000,power-amplifiers,,1151-pair-background-copy-650x317.jpg,,"'Anything but dry or sterile, these amps bring an inner warmth and freshness to music that is best described not as a breath of fresh air but as a welcome change of seasons.'",Stereophile,"'Anything but dry or sterile, these amps bring an inner warmth and freshness to music that is best described not as a breath of fresh air but as a welcome change of seasons.'",,,600,true,,,amplification,,"'Anything but dry or sterile, these amps bring an inner warmth and freshness to music that is best described not as a breath of fresh air but as a welcome change of seasons.'",,'1151',Review,1752847929,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,true,true,product,,,,,,,,,1162,,,57a66367-d3b5-4b62-8ba1-f42b764029f9,,,false,cad1d45b-6c89-4812-a990-fdab9e473e07,,,,,45000,power-amplifiers,,oip-(3).jpg,,,,,,,400,true,,,amplification,,"'Shipping: 215 lbs. (97.5 kg)'",,'1162',bold,1752850110,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,true,true,product,,,,,,,,,1163,,'http://boulderamp.com/products/1110-stereo-preamplifier/',bdccf017-63b6-4181-9532-f33ee940d2da,,,false,cad1d45b-6c89-4812-a990-fdab9e473e07,,,,,29500,power-amplifiers,,oip-(4).jpg,,,,,,null,300,true,,,amplification,null,"'110W Idle'",,null,bold,1752850250,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,true,true,product,,,,,,,,,2-7x,,,ac3f3bdd-3e8b-4bbb-b48f-c9a7fcdc4895,3,,false,a1bc679d-2575-49b5-b383-070c024b598e,,,,,10000,speakers,,MAGMG27I-P2-700x700.jpg,,,,,,,300,true,,,speakers,,"'WarrantyLimited 3 years to original purchaser see warranty document'",,2.7x,text,1722696188,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,,,,,,,,,,,,20-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"'Brian Damkroger, Stereophile'",,true,true,product,,'2020-07-07',,,true,,,,20-20-phono-preamp,,,IJKHcDNa,,'https://www.stereophile.com/content/sutherland-engineering-2020-phono-preamplifier',false,7ba65b16-79c3-47fb-9d6a-995354450369,,,false,,2200,phonostage,,sutherland-2020-hero-1200x500.jpg,,"""The 20/20's treble performance was excellent as well, and struck me as being extraordinarily vivid, with detailed, tonally rich images, big dynamic swings, and crisp, precise timing.""","'Brian Damkroger, Stereophile'","""The 20/20's treble performance was excellent as well, and struck me as being extraordinarily vivid, with detailed, tonally rich images, big dynamic swings, and crisp, precise timing.""",,,,true,,,source,,"""The Sutherland 20/20 excelled in a lot of different ways, and in some ways, it was as good as any component I've heard. It surpassed its overachieving predecessor, Sutherland's classic PhD, with its larger, more powerful dynamic transients, and easily transcended Sutherland's Direct Line Stage in terms of transparency and resolution of detail. In many ways, the 20/20 managed to combine the best of both earlier products while avoiding the shortcomings of either.""",left,20/20,text,1749230493,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,,,false,true,product,,,,,,,,,212-sx-subwoofer,,,1defa550-4cb7-4658-9753-eda67cd25126,,,false,70535a3a-d216-402b-8c58-eef0130d4462,,,,,4999,subwoofers,,212_sx_black_3_4_w_grill_silo-720_900-480x600.png,,,,,,,,true,,,speakers,,"'FINISH: Piano Black Lacquer'",,212/SX,hard_break,1652474326,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
,"'Herb Reichert, Stereophile'",,true,true,product,,'2020-06-22',,,true,,,,230had-headphone-amplifier,,,e31024ec-0e33-497c-9829-3bcf6c929e6d,,'https://www.stereophile.com/content/moon-simaudio-neo-230had-da-headphone-amplifier',,19c5d57b-0567-40d5-9d10-bb7ab10356aa,,,,,2000,headphone-amplifiers,,230had.jpg,,"'The Simaudio Moon Neo 230HAD is a fusion product—one of today''s many cost-effective, space-saving mashups of DACs, line stages, headphone amplifiers, and sometimes even speaker amplifiers. These mashups don''t fit the traditional categories of receiver, integrated amplifier, or separates.'","'Herb Reichert, Stereophile'","'The Simaudio Moon Neo 230HAD is a fusion product—one of today''s many cost-effective, space-saving mashups of DACs, line stages, headphone amplifiers, and sometimes even speaker amplifiers. These mashups don''t fit the traditional categories of receiver, integrated amplifier, or separates.'",,,30,true,,,multi-function,,"'I enjoyed all my hours with the Simaudio 230HAD—mainly because it rocked the rude boys, loved Henryk Szeryng, and taught me well about Chesky''s recordings. If your headspace listening is in need of an upgrade, the Simaudio Neo 230HAD is an absolute must-audition.'",,230HAD,text,1644360325,87ca4130-78f3-4ed1-8b64-aa552d3d08a8
